                  Time        error x        error y        error z
252500010.000000000000000          0.007         -0.001         -0.000
252500020.000000000000000          0.007         -0.002         -0.005
252500030.000000000000000         -0.001         -0.004         -0.005
252500040.000000000000000          0.000          0.000          0.000
252500050.000000000000000         -0.007          0.008          0.007
252500060.000000000000000         -0.016          0.008          0.008
252500070.000000000000000          0.006         -0.002         -0.002
252500080.000000000000000         -0.010         -0.014          0.002
252500090.000000000000000          0.002         -0.006         -0.000
252500100.000000000000000          0.003         -0.001         -0.000
252500110.000000000000000          0.003          0.005         -0.005
252500120.000000000000000          0.003          0.007         -0.002
252500130.000000000000000          0.000         -0.001          0.001
252500140.000000000000000         -0.007         -0.007          0.005
252500150.000000000000000         -0.001         -0.008         -0.003
