                  Time        error x        error y        error z
252741000.000000000000000          0.001          0.022          0.014
252741010.000000000000000          0.003          0.024          0.013
252741020.000000000000000          0.004          0.023          0.022
252741030.000000000000000          0.003          0.022          0.019
252741040.000000000000000          0.001          0.020          0.009
252741050.000000000000000          0.004          0.027          0.017
252741060.000000000000000          0.002          0.026          0.017
252741070.000000000000000         -0.001          0.022          0.010
252741080.000000000000000         -0.002          0.028          0.016
252741090.000000000000000          0.002          0.025          0.014
252741100.000000000000000          0.005          0.025          0.024
252741110.000000000000000          0.005          0.024          0.021
252741120.000000000000000          0.002          0.026          0.012
252741130.000000000000000          0.003          0.026          0.019
252741140.000000000000000          0.003          0.025          0.020
252741150.000000000000000          0.002          0.026          0.011
252741160.000000000000000          0.001          0.022          0.016
252741170.000000000000000         -0.000          0.025          0.016
252741180.000000000000000          0.001          0.028          0.013
252741190.000000000000000          0.002          0.030          0.015
252741200.000000000000000          0.001          0.029          0.014
252741210.000000000000000          0.002          0.027          0.012
252741220.000000000000000          0.003          0.025          0.014
252741230.000000000000000          0.003          0.024          0.003
252741240.000000000000000          0.000          0.027          0.012
252741250.000000000000000          0.002          0.028          0.012
252741260.000000000000000          0.003          0.027          0.010
252741270.000000000000000          0.001          0.027          0.015
252741280.000000000000000          0.006          0.026          0.012
252741290.000000000000000          0.004          0.032          0.008
252741300.000000000000000          0.002          0.029          0.015
252741310.000000000000000          0.001          0.026          0.027
252741320.000000000000000         -0.001          0.029          0.027
252741330.000000000000000          0.002          0.029          0.018
252741340.000000000000000          0.004          0.033          0.026
252741350.000000000000000          0.003          0.033          0.018
252741360.000000000000000          0.002          0.029          0.012
252741370.000000000000000         -0.004          0.034          0.009
252741380.000000000000000         -0.004          0.031          0.001
252741390.000000000000000          0.000          0.027          0.008
252741400.000000000000000          0.001          0.036          0.020
252741410.000000000000000          0.003          0.032          0.014
252741420.000000000000000         -0.000          0.030          0.023
252741430.000000000000000          0.006          0.029          0.005
252741440.000000000000000          0.005          0.027          0.021
252741450.000000000000000          0.000          0.029          0.014
252741460.000000000000000         -0.005          0.020          0.006
252741470.000000000000000          0.000          0.026          0.008
252741480.000000000000000          0.002          0.025         -0.004
